Observation_id,Behaviour,Modifier,Phase,Percentage
Anthony_FRF_25102022_0953,Mov,Away from speaker,Silence_2,16
Anthony_FRF_25102022_0953,Mov,Away from speaker,Dishabituation,1.098901098901099
Anthony_FRF_25102022_0953,Pre,With kin,Silence_1,98.57142857142858
Anthony_FRF_25102022_0953,Pre,With kin,Habituation,1.4450867052023122
Anthony_FRF_25102022_0953,Pre,With kin,Habituation,7.803468208092486
Anthony_FRF_25102022_0953,Pre,With kin,Habituation,3.7572254335260116
Anthony_FRF_25102022_0953,Pre,With kin,Habituation,1.1560693641618496
Anthony_FRF_25102022_0953,Pre,With kin,Dishabituation,2.197802197802198
Anthony_FRF_25102022_0953,Rst,With kin,Habituation,3.4682080924855487
Anthony_FRF_25102022_0953,Rst,With kin,Habituation,17.91907514450867
Anthony_FRF_25102022_0953,Rst,With kin,Habituation,9.248554913294797
Anthony_FRF_25102022_0953,Rst,With kin,Habituation,13.294797687861271
Anthony_FRF_25102022_0953,Rst,With kin,Silence_2,45.33333333333333
Anthony_FRF_25102022_0953,Rst,With kin,Silence_2,17.333333333333336
Anthony_FRF_25102022_0953,Rst,With kin,Dishabituation,7.6923076923076925
Anthony_FRF_25102022_0953,Rst,With kin,Silence_3,90
Anthony_FRF_25102022_0953,Vig,Long neck,Dishabituation,9.89010989010989
Anthony_FRF_25102022_0953,Vig,Long neck,Silence_2,10.666666666666668
Anthony_FRF_25102022_0953,Vig,Mid neck,Silence_2,9.333333333333334
Anthony_FRF_25102022_0953,Vig,Mid neck,Dishabituation,16.117216117216117
Anthony_FRF_25102022_0953,Vig,Mid neck,Dishabituation,13.186813186813188
Anthony_FRF_25102022_0953,Vig,Mid neck,Silence_3,10
Anthony_FRF_25102022_0953,Vig,Short Neck,Habituation,0.8670520231213872
Anthony_FRF_25102022_0953,Vig,Short Neck,Silence_1,1.4285714285714286
Anthony_FRF_25102022_0953,Vig,Short Neck,Habituation,1.4450867052023122
Anthony_FRF_25102022_0953,Vig,Short Neck,Habituation,0.8670520231213872
Anthony_FRF_25102022_0953,Vig,Short Neck,Habituation,1.1560693641618496
Anthony_FRF_25102022_0953,Vig,Short Neck,Habituation,12.716763005780345
Anthony_FRF_25102022_0953,Vig,Short Neck,Habituation,1.4450867052023122
Anthony_FRF_25102022_0953,Vig,Short Neck,Habituation,22.254335260115607
Anthony_FRF_25102022_0953,Vig,Short Neck,Silence_2,12
Anthony_FRF_25102022_0953,Vig,Short Neck,Silence_2,4
Anthony_FRP_06112022_0945,Ass,Kin,Dishabituation,100
Anthony_FRP_06112022_0945,Ass,Kin,Habituation,100
Anthony_FRP_06112022_0945,Ass,Kin,Silence_1,100
Anthony_FRP_06112022_0945,Ass,Kin,Silence_2,100
Anthony_FRP_06112022_0945,Ass,Kin,Silence_3,100
Anthony_FRP_06112022_0945,Mov,Away from speaker,Silence_1,17.02127659574468
Anthony_FRP_06112022_0945,Mov,Away from speaker,Dishabituation,0
Anthony_FRP_06112022_0945,Pre,With kin,Dishabituation,2.0080321285140563
Anthony_FRP_06112022_0945,Rst,With kin,Dishabituation,36.54618473895582
Anthony_FRP_06112022_0945,Rst,With kin,Habituation,100
Anthony_FRP_06112022_0945,Rst,With kin,Silence_1,73.40425531914893
Anthony_FRP_06112022_0945,Rst,With kin,Silence_2,100
Anthony_FRP_06112022_0945,Rst,With kin,Dishabituation,0
Anthony_FRP_06112022_0945,Rst,With kin,Silence_3,100
Anthony_FRP_06112022_0945,Vig,Mid neck,Dishabituation,6.425702811244979
Anthony_FRP_06112022_0945,Vig,Mid neck,Dishabituation,5.220883534136546
Anthony_FRP_06112022_0945,Vig,Mid neck,Dishabituation,15.261044176706829
Anthony_PRF_27102022_1108,Ass,Kin,Dishabituation,100
Anthony_PRF_27102022_1108,Ass,Kin,Habituation,100
Anthony_PRF_27102022_1108,Ass,Kin,Silence_1,100
Anthony_PRF_27102022_1108,Ass,Kin,Silence_2,100
Anthony_PRF_27102022_1108,Ass,Kin,Silence_3,100
Anthony_PRF_27102022_1108,Eat,With kin,Habituation,99.59514170040485
Anthony_PRF_27102022_1108,Eat,With kin,Silence_1,100
Anthony_PRF_27102022_1108,Eat,With kin,Silence_2,17.24137931034483
Anthony_PRF_27102022_1108,Eat,With kin,Silence_2,10.344827586206897
Anthony_PRF_27102022_1108,Eat,With kin,Silence_2,3.4482758620689653
Anthony_PRF_27102022_1108,Eat,With kin,Silence_2,3.4482758620689653
Anthony_PRF_27102022_1108,Eat,With kin,Silence_2,3.4482758620689653
Anthony_PRF_27102022_1108,Eat,With kin,Dishabituation,8.19672131147541
Anthony_PRF_27102022_1108,Eat,With kin,Dishabituation,78.68852459016394
Anthony_PRF_27102022_1108,Eat,With kin,Silence_3,100
Anthony_PRF_27102022_1108,Mov,Away from speaker,Silence_2,3.4482758620689653
Anthony_PRF_27102022_1108,Mov,Away from speaker,Silence_2,15.517241379310345
Anthony_PRF_27102022_1108,Mov,Away from speaker,Silence_2,6.896551724137931
Anthony_PRF_27102022_1108,Mov,Away from speaker,Dishabituation,11.065573770491802
Anthony_PRF_27102022_1108,Mov,Away from speaker,Silence_2,18.96551724137931
Anthony_PRF_27102022_1108,Vig,Long neck,Dishabituation,1.639344262295082
Anthony_PRF_27102022_1108,Vig,Mid neck,Habituation,0.4048582995951417
Anthony_PRF_27102022_1108,Vig,Mid neck,Silence_2,6.896551724137931
Anthony_PRF_27102022_1108,Vig,Mid neck,Silence_2,5.172413793103448
Anthony_PRF_27102022_1108,Vig,Mid neck,Silence_2,5.172413793103448
Anthony_PRF_27102022_1108,Vig,Mid neck,Silence_2,17.24137931034483
Anthony_PRF_27102022_1108,Vig,Mid neck,Silence_2,8.620689655172415
Anthony_PRF_27102022_1108,Vig,Mid neck,Dishabituation,11.065573770491802
Anthony_PRF_27102022_1108,Vig,Mid neck,Silence_2,17.24137931034483
Ballantine_FC_07112022_0855,Ass,Kin,Dishabituation,100
Ballantine_FC_07112022_0855,Ass,Kin,Habituation,100
Ballantine_FC_07112022_0855,Ass,Kin,Silence_1,100
Ballantine_FC_07112022_0855,Ass,Kin,Silence_2,100
