Observation_id,Phase,Behaviour,Behavioural_category,Modifier,Point_Event_Count,Phase_Duration_s,Rate
Ballantine_FRF_22112022_1026,Silence_1,Voc,Reaction,Contact,2,97,0.020618556701030927
Ballantine_FRF_22112022_1026,Silence_2,FVO,Reaction,Distance,1,398,0.002512562814070352
Ballantine_FRF_22112022_1026,Silence_2,Look,Reaction,At speaker,1,398,0.002512562814070352
Ballantine_FRF_22112022_1026,Silence_2,Look,Reaction,Away from speaker,1,398,0.002512562814070352
Ballantine_FRF_22112022_1026,Silence_3,Agn,Interaction,Towards other,2,740,0.002702702702702703
Ballantine_FRF_22112022_1026,Silence_3,FVO,Reaction,Distance,1,740,0.0013513513513513514
Ballantine_FRF_22112022_1026,Silence_3,Look,Reaction,At speaker,6,740,0.008108108108108109
Ballantine_FRF_22112022_1026,Silence_3,Look,Reaction,Away from speaker,9,740,0.012162162162162163
Ballantine_FRF_22112022_1026,Silence_3,Voc,Reaction,Contact,5,740,0.006756756756756757
Ballantine_FRF_26102022_0947,Dishabituation,FVO,Reaction,Distance,6,660,0.00909090909090909
Ballantine_FRF_26102022_0947,Dishabituation,FVO,Reaction,Other,3,660,0.004545454545454545
Ballantine_FRF_26102022_0947,Dishabituation,HSH,Reaction,None,1,660,0.0015151515151515152
Ballantine_FRF_26102022_0947,Dishabituation,Htlt,Reaction,None,1,660,0.0015151515151515152
Ballantine_FRF_26102022_0947,Dishabituation,Look,Reaction,At speaker,3,660,0.004545454545454545
Ballantine_FRF_26102022_0947,Dishabituation,Look,Reaction,Away from speaker,15,660,0.022727272727272728
Ballantine_FRF_26102022_0947,Dishabituation,Voc,Reaction,Contact,2,660,0.0030303030303030303
Ballantine_FRF_26102022_0947,Habituation,FVO,Reaction,Distance,1,342,0.0029239766081871343
Ballantine_FRF_26102022_0947,Habituation,HSH,Reaction,None,1,342,0.0029239766081871343
Ballantine_FRF_26102022_0947,Habituation,Htlt,Reaction,None,1,342,0.0029239766081871343
Ballantine_FRF_26102022_0947,Habituation,Look,Reaction,At speaker,19,342,0.05555555555555555
Ballantine_FRF_26102022_0947,Habituation,Look,Reaction,Away from speaker,20,342,0.05847953216374269
Ballantine_FRF_26102022_0947,Silence_1,FVO,Reaction,Other,1,84,0.011904761904761904
Ballantine_FRF_26102022_0947,Silence_1,HSH,Reaction,None,2,84,0.023809523809523808
Ballantine_FRF_26102022_0947,Silence_1,Look,Reaction,At speaker,8,84,0.09523809523809523
Ballantine_FRF_26102022_0947,Silence_1,Look,Reaction,Away from speaker,7,84,0.08333333333333333
Ballantine_FRF_26102022_0947,Silence_2,Look,Reaction,At speaker,3,386,0.007772020725388601
Ballantine_FRF_26102022_0947,Silence_2,Look,Reaction,Away from speaker,1,386,0.0025906735751295338
Ballantine_FRF_26102022_0947,Silence_3,FVO,Reaction,Distance,3,766,0.0039164490861618795
Ballantine_FRF_26102022_0947,Silence_3,FVO,Reaction,Other,2,766,0.0026109660574412533
Ballantine_FRF_26102022_0947,Silence_3,Look,Reaction,Away from speaker,2,766,0.0026109660574412533
Ballantine_FRP_23102022_0910,Dishabituation,Agn,Interaction,Towards other,3,739,0.0040595399188092015
