Observation_id,Phase,Behaviour,Behavioural_category,Modifier,Point_Event_Count
Anthony_PRF_27102022_1108,Silence_2,Fllw,Interaction,Kin,3
Anthony_PRF_27102022_1108,Silence_2,HSH,Reaction,None,1
Anthony_PRF_27102022_1108,Silence_2,Look,Reaction,At speaker,4
Anthony_PRF_27102022_1108,Silence_2,Look,Reaction,Away from speaker,10
Anthony_PRF_27102022_1108,Silence_2,Voc,Reaction,Recruitment,4
Anthony_PRF_27102022_1108,Silence_3,FVO,Reaction,Distance,3
Anthony_PRF_27102022_1108,Silence_3,Look,Reaction,Away from speaker,1
Anthony_PRF_27102022_1108,Silence_3,Voc,Reaction,Contact,1
Ballantine_FC_07112022_0855,Dishabituation,FVO,Reaction,Distance,8
Ballantine_FC_07112022_0855,Dishabituation,FVO,Reaction,Other,2
Ballantine_FC_07112022_0855,Dishabituation,HSH,Reaction,None,1
Ballantine_FC_07112022_0855,Dishabituation,Look,Reaction,At speaker,5
Ballantine_FC_07112022_0855,Dishabituation,Look,Reaction,Away from speaker,5
Ballantine_FC_07112022_0855,Dishabituation,Voc,Reaction,Distance,2
Ballantine_FC_07112022_0855,Habituation,FVO,Reaction,Distance,14
Ballantine_FC_07112022_0855,Habituation,HSH,Reaction,None,1
Ballantine_FC_07112022_0855,Habituation,Look,Reaction,At speaker,7
Ballantine_FC_07112022_0855,Habituation,Voc,Reaction,Distance,1
Ballantine_FC_07112022_0855,Silence_1,FVO,Reaction,Distance,5
Ballantine_FC_07112022_0855,Silence_1,FVO,Reaction,Other,2
Ballantine_FC_07112022_0855,Silence_2,FVO,Reaction,Distance,1
Ballantine_FC_07112022_0855,Silence_3,FVO,Reaction,Distance,2
Ballantine_FC_07112022_0855,Silence_3,FVO,Reaction,Other,1
Ballantine_FC_09102022_0930,Dishabituation,Agn,Interaction,Towards other,1
Ballantine_FC_09102022_0930,Dishabituation,FVO,Reaction,Distance,23
Ballantine_FC_09102022_0930,Dishabituation,FVO,Reaction,Other,15
Ballantine_FC_09102022_0930,Dishabituation,HSH,Reaction,None,7
Ballantine_FC_09102022_0930,Dishabituation,Htlt,Reaction,None,2
Ballantine_FC_09102022_0930,Dishabituation,Look,Reaction,At speaker,43
Ballantine_FC_09102022_0930,Dishabituation,Look,Reaction,Away from speaker,10
Ballantine_FC_09102022_0930,Dishabituation,Voc,Reaction,Contact,1
Ballantine_FC_09102022_0930,Dishabituation,Voc,Reaction,Distance,1
